material,model,geometry,qx,qy,qe_mode,ml_mode,qe_frequency_thz,ml_frequency_thz,frequency_difference_thz,single_overlap_squared,qe_subspace_dimension,subspace_minimum_overlap_squared,gamma_point
mos2,tece,model_relaxed,0.16666666666666666,0.6666666666666666,5,5,9.960727,9.528786287201543,-0.4319407127984576,0.9987529603721131,1,0.9987529603721131,False
mos2,tece,model_relaxed,0.16666666666666666,0.6666666666666666,6,6,10.732538,10.214936612875757,-0.5176013871242429,0.9981005212520367,1,0.998100521252037,False
mos2,tece,model_relaxed,0.16666666666666666,0.6666666666666666,7,7,11.5828,10.830314377454679,-0.752485622545322,0.998673842829031,1,0.998673842829031,False
mos2,tece,model_relaxed,0.16666666666666666,0.6666666666666666,8,8,12.467444,11.839731264541696,-0.6277127354583047,0.9975520091879322,1,0.9975520091879326,False
mos2,tece,model_relaxed,0.16666666666666666,0.6666666666666666,9,9,12.650502,11.96637749267393,-0.6841245073260698,0.9991096576519,1,0.9991096576519,False
mos2,tece,model_relaxed,0.16666666666666666,0.8333333333333334,1,1,1.316822,1.3412604146225593,0.024438414622559357,0.9999379394196658,1,0.9999379394196658,False
mos2,tece,model_relaxed,0.16666666666666666,0.8333333333333334,2,2,2.463871,2.337190729361748,-0.12668027063825216,0.999979638777957,1,0.9999796387779566,False
mos2,tece,model_relaxed,0.16666666666666666,0.8333333333333334,3,3,3.91324,3.73816636998845,-0.17507363001154985,0.9998157652448098,1,0.99981576524481,False
mos2,tece,model_relaxed,0.16666666666666666,0.8333333333333334,4,4,8.866569,8.408268267286717,-0.4583007327132833,0.9999999988884758,1,0.9999999988884758,False
mos2,tece,model_relaxed,0.16666666666666666,0.8333333333333334,5,5,9.343728,8.90911930432795,-0.4346086956720505,0.9997698345030493,1,0.9997698345030491,False
mos2,tece,model_relaxed,0.16666666666666666,0.8333333333333334,6,6,11.291161,10.667369629998987,-0.6237913700010136,0.987568848601734,1,0.9875688486017338,False
mos2,tece,model_relaxed,0.16666666666666666,0.8333333333333334,7,7,11.656381,10.933668641568646,-0.7227123584313535,0.9999796124864784,1,0.9999796124864784,False
mos2,tece,model_relaxed,0.16666666666666666,0.8333333333333334,8,8,12.464548,11.880344110778621,-0.5842038892213797,0.9873993487374961,1,0.9873993487374961,False
mos2,tece,model_relaxed,0.16666666666666666,0.8333333333333334,9,9,13.646043,13.029546238889262,-0.6164967611107386,0.9998267986402811,1,0.9998267986402811,False
mos2,tece,model_relaxed,0.3333333333333333,0.0,1,1,3.828916,3.7484487049876662,-0.08046729501233374,0.9996130534728613,1,0.9996130534728616,False
mos2,tece,model_relaxed,0.3333333333333333,0.0,2,2,4.147756,3.9456328147447346,-0.20212318525526562,0.9999160343868305,1,0.9999160343868305,False
mos2,tece,model_relaxed,0.3333333333333333,0.0,3,3,6.455119,6.137330520894688,-0.31778847910531205,0.9986377155173567,1,0.9986377155173569,False
mos2,tece,model_relaxed,0.3333333333333333,0.0,4,4,9.177996,8.657219146436459,-0.5207768535635413,0.9999999967177207,1,0.9999999967177207,False
mos2,tece,model_relaxed,0.3333333333333333,0.0,5,5,10.149005,9.719310662930528,-0.42969433706947235,0.9989390856769745,1,0.9989390856769745,False
mos2,tece,model_relaxed,0.3333333333333333,0.0,6,6,10.724786,10.245905539642985,-0.4788804603570149,0.9990052722930064,1,0.9990052722930064,False
mos2,tece,model_relaxed,0.3333333333333333,0.0,7,7,11.377898,10.63708805532443,-0.7408099446755703,0.9999160577052414,1,0.9999160577052414,False
mos2,tece,model_relaxed,0.3333333333333333,0.0,8,8,12.331607,11.636894428617737,-0.6947125713822633,0.9992843039998945,1,0.9992843039998948,False
mos2,tece,model_relaxed,0.3333333333333333,0.0,9,9,12.539281,11.868568516964032,-0.6707124830359685,0.9982465913280935,1,0.9982465913280935,False
mos2,tece,model_relaxed,0.3333333333333333,0.16666666666666666,1,1,4.873539,4.757349128421849,-0.1161898715781513,0.9995840052913243,1,0.9995840052913245,False
mos2,tece,model_relaxed,0.3333333333333333,0.16666666666666666,2,2,5.368917,5.114889253122529,-0.25402774687747076,0.9992439829217635,1,0.9992439829217638,False
mos2,tece,model_relaxed,0.3333333333333333,0.16666666666666666,3,3,6.649682,6.377183903890457,-0.2724980961095431,0.9979539484738493,1,0.9979539484738496,False
mos2,tece,model_relaxed,0.3333333333333333,0.16666666666666666,4,4,9.645211,9.108228459668188,-0.5369825403318114,0.9976241926025384,1,0.9976241926025387,False
mos2,tece,model_relaxed,0.3333333333333333,0.16666666666666666,5,5,10.130781,9.664667428050723,-0.46611357194927727,0.9991810215294716,1,0.9991810215294716,False
mos2,tece,model_relaxed,0.3333333333333333,0.16666666666666666,6,6,10.499809,10.048354965178246,-0.4514540348217544,0.9965544628465844,1,0.9965544628465844,False
